document_id,title,filename,source_url,doc_type,topic,page_value
1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,keep
2,Практическая подготовка студентов НИУ ВШЭ — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_practice_fb289ff36a.txt,https://www.hse.ru/studyspravka/practice,web,practice,keep
3,"Академический отпуск, отпуск по беременности и родам и уходу за ребенком для обучающихся НИУ ВШЭ — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»",studyspravka_academotpusk_4ea782cc13.txt,https://www.hse.ru/studyspravka/academotpusk,web,academic_leave,keep
4,Локальные положения и регламенты — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_loc_0fd4875722.txt,https://www.hse.ru/studyspravka/loc,web,documents,low_value
5,Нормативные документы Правительства РФ и Министерства образования и науки РФ — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_NormDokMON_7d081b05e8.txt,https://www.hse.ru/studyspravka/NormDokMON,web,documents,low_value
6,Академический календарь (График учебного процесса) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_grafik_9cd50f3e57.txt,https://www.hse.ru/studyspravka/grafik,web,academic_leave,keep
7,Контроль знаний студентов — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_kontr_4b3583f271.txt,https://www.hse.ru/studyspravka/kontr,web,documents,low_value
8,Программа учебной дисциплины (ПУД) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_syllabus_106466835a.txt,https://www.hse.ru/studyspravka/syllabus,web,documents,low_value
9,Английский язык в бакалавриате и специалитете — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_engbach_7fafb718af.txt,https://www.hse.ru/studyspravka/engbach,web,documents,keep
10,Цифровые компетенции в бакалавриате: независимые экзамены и внешняя оценка — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_examsdataculture_e0646d6e3a.txt,https://www.hse.ru/studyspravka/examsdataculture,web,documents,keep
11,Показатель качества учебной деятельности (КУД) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_kud_45b0b50570.txt,https://www.hse.ru/studyspravka/kud,web,documents,keep
