chunk_id,document_id,document_title,filename,source_url,doc_type,topic,chunk_order,chunk_text,page_value
1,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,1,"руководителя и оценивается до защиты ВКР на
обязательной промежуточной аттестации
. Это отдельная оценка, которая выставляется до защиты ВКР и вносится в приложение к диплому. Содержание промежуточной аттестации и требования к представляемому тексту ВКР устанавливаются программой практики образовательной программы.
В зависимости от образовательной программы промежуточная аттестация может проводиться:
— либо по итоговой версии текста ВКР;
— либо по промежуточной версии текста ВКР, которую студент дорабатывает до дедлайна по предоставлению итоговой версии до защиты ВКР.
Информация о том, какую версию ВКР необходимо предоставить и к какому дедлайну, доступна в
программе практики
на сайте вашей образовательной программы в разделе «Студентам» → «Практическая подготовка».
Перенос комиссии для второй пересдачи
по и повторное изучение элемента «Подготовка ВКР»
не предусмотрены
— все пересдачи организуются до конца выпускного учебного года и до начала ГИА.
Как выбрать тему и научного руководителя ВКР?
Студент выбирает тему ВКР в цифровой системе НИУ ВШЭ и в соответствии с программой практики образовательной программы, соблюдая в указанные в ней сроки. Программа практики разрабатывается",keep
2,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,2,"одителя ВКР?
Студент выбирает тему ВКР в цифровой системе НИУ ВШЭ и в соответствии с программой практики образовательной программы, соблюдая в указанные в ней сроки. Программа практики разрабатывается для каждого набора студентов отдельно и публикуется на сайте образовательной программы в разделе «Студентам» → «Практическая подготовка».
Студентам в цифровой системе может быть доступен
список тем, инициированных работниками НИУ ВШЭ
, на которые можно подавать заявки. Для принятия решения о выборе или уточнении темы студент должен связаться и проконсультироваться с потенциальным научным руководителем, чтобы изменить тему (при необходимости) и получить согласие на руководство. Подтверждение руководства может быть получено через одобрение руководителем заявки на тему в цифровой системе или в простой письменной форме по электронной почте передается в учебный офис ОП. После подачи будет отображаться статус заявки: сначала она попадет на согласование к выбранному руководителю, а потом — к академическому руководителю программы.
Студент имеет право предложить свою
инициативную тему
ВКР в цифровой системе, придерживаясь срока выбора темы, установленного программой практики образовательной",keep
3,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,3,"академическому руководителю программы.
Студент имеет право предложить свою
инициативную тему
ВКР в цифровой системе, придерживаясь срока выбора темы, установленного программой практики образовательной программы. В заявке студент указывает наименование темы и предполагаемого руководителя, с которым заранее устно ее согласовал. Заявка-предложение проходит согласование Дирекции основных образовательных программ (
ДООП
) и предполагаемого руководителя. Рассмотрев предложенную студентом тему ВКР, руководитель имеет право ее принять или отклонить, аргументировав свое решение, или, совместно со студентом, переформулировать.
Академический руководитель с возможным привлечением академического совета принимает решение по поводу соответствия заявленных тем направлению подготовки студентов и либо утверждает их, либо отклоняет, аргументировав свое решение, либо, при согласии студентов, предлагает им переформулировать темы. В случае положительного решения и при необходимости может быть дана рекомендация о руководителе ВКР, консультанте.
Что делать, если заявка на тему ВКР была направлена, но далее Вы/руководитель передумали?
Вы можете отозвать заявку, либо попросить несостоявшегося руководителя",keep
4,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,4,"дация о руководителе ВКР, консультанте.
Что делать, если заявка на тему ВКР была направлена, но далее Вы/руководитель передумали?
Вы можете отозвать заявку, либо попросить несостоявшегося руководителя ее отклонить.
Насколько важно соблюдать сроки выбора темы ВКР?
Студент обязан подать заявление о выборе темы ВКР в установленные программой практики образовательной программы сроки.
В 2025/2026 учебном году установлены следующие сроки
Этап подготовки
Ответственный
за этап подготовки курсовой работы/ ВКР
Сроки исполнения
Первая волна выбора предложенных тем курсовых работ и ВКР студентами / Инициативное предложение тем студентами
студенты / академический руководитель ОП
С 31 октября до 18 ноября
текущего учебного года
Отбор поступивших заявок на предложенные темы ВКР первой волны
преподаватели и научные работники при помощи административных сотрудников департаментов и научных подразделений, проектных менеджеров факультета
Вторая волна выбора тем ВКР, либо инициативное предложение тем студентами, все поданные заявки которых оказались отклонены
студент/ академический руководитель ОП/ преподаватели и научные работники при помощи административных сотрудников департаментов и научных",keep
5,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,5,"ем студентами, все поданные заявки которых оказались отклонены
студент/ академический руководитель ОП/ преподаватели и научные работники при помощи административных сотрудников департаментов и научных подразделений, проектных менеджеров факультета
С 19 ноября до 28 ноября
Отбор поступивших заявок на предложенные темы ВКР второй волны
С 19 ноября до 2 декабря
Согласование заявок студентов академическими руководителями
академические руководители ОП
С 31 октября до 5 декабря
Проверка наличия утвержденных руководителями тем ВКР у студентов
учебный офис ОП
С 8 декабря до 12 декабря
Утверждение тем и руководителей ВКР студентов
Не позднее 12 декабря
Закрепление темы за студентом и назначение руководителя производится приказом декана факультета, который издается не позднее 15 декабря текущего учебного года.
Студентам,
не выбравшим
в установленные сроки тему и руководителя ВКР, они
назначаются автоматически
в течение 10 (десяти) рабочих дней по окончании установленных сроков в соответствии с Положением об организации промежуточной аттестации и текущего контроля успеваемости студентов НИУ ВШЭ (
ПОПАТКУС
* В отдельных случаях ОП может устанавливать свои периоды предложения и выбора тем",keep
6,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,6,"ии с Положением об организации промежуточной аттестации и текущего контроля успеваемости студентов НИУ ВШЭ (
ПОПАТКУС
* В отдельных случаях ОП может устанавливать свои периоды предложения и выбора тем ВКР. С более подробной информацией можно ознакомиться в программе практики на сайте ОП или уточнить в учебном офисе
Может ли студент изменить тему ВКР?
Да, может. Изменение темы ВКР возможно не позднее, чем за
один календарный месяц
до установленного в приказе срока представления итогового варианта ВКР и по процедурам, установленным ОП. Изменение темы ВКР производится приказом декана факультета.
Допустимо ли использование текста собственной курсовой работы при написании ВКР?
Написание ВКР может основываться на обобщении выполненных выпускником курсовых работ. Такая возможность может упоминаться в программе практики или методических рекомендациях по подготовке ВКР образовательной программы. Сделать окончательный вывод о возможности использования текста своей курсовой работы при написании ВКР должен помочь руководитель, так как именно он определяет корректность заимствований и наличие самоплагиата — отчет системы «Антиплагиат» — это только инструмент в помощь человеку.
Помимо этого,",keep
7,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,7,"ии ВКР должен помочь руководитель, так как именно он определяет корректность заимствований и наличие самоплагиата — отчет системы «Антиплагиат» — это только инструмент в помощь человеку.
Помимо этого, чтобы избежать самоплагиата и дублирования опубликованной ранее информации, нужно привести корректно оформленные ссылки на собственные работы (в том числе курсовые), перечислив их в списке использованных источников.
Может ли студент писать ВКР у руководителя, работающего в другом департаменте/подразделении? Может ли студент писать ВКР у руководителя, не работающего в НИУ ВШЭ?
Нет запретов на выбор руководителя ВКР, представляющего подразделение, не реализующее ту образовательную программу, на которой учится студент.
Работники сторонних организаций, не являющимися сотрудниками НИУ ВШЭ, могут быть только соруководителями ВКР студента при назначенном руководителе от НИУ ВШЭ.
Может ли студент заменить руководителя ВКР?
Может. С этой целью нужно написать личное заявление на имя декана с кратким обоснованием своей просьбы. Заявление должно быть подано в учебный офис не позднее,
чем за два месяца
до начала государственной итоговой аттестации.
Решение о замене руководителя принимает декан",keep
8,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,8,"атким обоснованием своей просьбы. Заявление должно быть подано в учебный офис не позднее,
чем за два месяца
до начала государственной итоговой аттестации.
Решение о замене руководителя принимает декан факультета через издание соответствующего приказа. Декан факультета имеет право отклонить просьбу студента о замене руководителя, аргументировав свое решение.
Какова роль научного консультанта? Кто может быть научным консультантом?
– это специалист в той области знаний, к которой относится тема ВКР, часто обладающий особенными или уникальными знаниями, опытом и компетенциями в данной теме. Он имеет совещательный голос при разработке ВКР, в его обязанности входит консультационная помощь студенту в выборе методики исследования/реализации проекта, в подборе литературы и фактического материала, а также по содержанию ВКР.
Чаще всего консультант может быть назначен, если тема ВКР находится на стыке наук или касается очень узкой научной области, и выполнение качественного исследования/проекта невозможно без получения дополнительных специальных консультаций. Решение о необходимости назначения консультанта(ов) принимает академический руководитель ОП по представлению руководителя ВКР.
В чем",keep
9,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,9,"а невозможно без получения дополнительных специальных консультаций. Решение о необходимости назначения консультанта(ов) принимает академический руководитель ОП по представлению руководителя ВКР.
В чем роль рецензента магистерской ВКР? Какая информация должна быть отражена в рецензии?
ВКР магистров в НИУ ВШЭ является
обязательным
Примерная форма отзыва рецензента, а также подробная информация о процедуре, содержится в Приложении 8 к Положению о практической подготовке —
Порядке оформления курсовых и выпускных квалификационных работ НИУ ВШЭ
Приказ о назначении рецензента подписывается деканом факультета по представлению академического руководителя ОП не позднее, чем за месяц до запланированной даты защиты ВКР. В приказе указываются ФИО студента, тема ВКР, сведения о рецензенте (ФИО, ученая степень, ученое звание, место работы, занимаемая должность).
Студент обязан ознакомиться с рецензией и подготовить ответы по существу сделанных рецензентом замечаний.
Когда дедлайн загрузки ВКР?
Срок загрузки итогового и/или промежуточного варианта ВКР (уточняйте, какой действует у вас на ОП) утверждается в программе практики вашей образовательной программы, но не позднее
7 рабочих дней
до даты",keep
10,1,Выпускная квалификационная работа (ВКР) — Справочник учебного процесса НИУ ВШЭ — Национальный исследовательский университет «Высшая школа экономики»,studyspravka_vkr_a84c2bafde.txt,https://www.hse.ru/studyspravka/vkr,web,vkr,10,"ок загрузки итогового и/или промежуточного варианта ВКР (уточняйте, какой действует у вас на ОП) утверждается в программе практики вашей образовательной программы, но не позднее
7 рабочих дней
до даты защиты ВКР.
Важно:
Если вы не загрузили ВКР без уважительных причин, в зависимости от варианта предоставления текста, указанного в программе практики ОП, выставляется оценка «0» либо по элементу учебного плана «Подготовка ВКР», либо за защиту ВКР.
Куда необходимо загрузить ВКР?
Текст ВКР (итоговый и/или промежуточный) предоставляется
только в электронном виде
— его необходимо загрузить в установленный вашей образовательной программой срок.
Инструкция по загрузке работ
описывает необходимый алгоритм действий по загрузке работы — обязательно ознакомьтесь с ним заранее, до загрузки своей работы, и подготовьте файлы и текст для заполнения формы. Обратите внимание, что при загрузке обязательно заполнение аннотации к текстам ВКР на русском
и английском языках — после защиты ВКР они будут размещены на
портале НИУ ВШЭ
Если вы использовали искусственный интеллект при подготовке ВКР, вам необходимо не только проставить в
форме
загрузки соответствующую отметку, но и
заполнить анкету
с деталями",keep
