chunk_id,document_id,document_title,filename,source_url,doc_type,topic,chunk_order,chunk_text
1,1,Академический отпуск (основная информация),academic_leave_main.txt,https://www.hse.ru/studyspravka/academotpusk/,web,academic_leave,1,"Академический отпуск
Академический отпуск — временное освобождение студента от обучения.
Основания:
- медицинские показания;
- семейные обстоятельства;
- иные уважительные причины.
Для оформления необходимо:
- подать заявление;
- предоставить подтверждающие документы.
Срок отпуска:
- определяется индивидуально;
- может быть продлен.
Во время академического отпуска:
- студент сохраняет статус обучающегося;
- обучение временно приостанавливается.
Выход из академического отпуска:
- осуществляется по заявлению студента;
- студент возвращается к обучению."
2,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,1,"Приложение
к приказу НИУ ВШЭ
от 6.18.1-01/2207-16
от 22.07.2016
УТВЕРЖДЕНЫ
ученым советом НИУ ВШЭ протокол от 24.06.2016 № 07
с изменениями,
утвержденными ученым советом НИУ ВШЭ 07.04.2017, протокол № 04, внесенными приказом НИУ ВШЭ от 18.04.2017 № 6.18.1-01/1804-12;
утвержденными ученым советом НИУ ВШЭ 24.11.2017, протокол № 11, внесенными приказом НИУ ВШЭ от 08.12.2017 № 6.18.1-01/0812-02;
утвержденными ученым советом НИУ ВШЭ 26.04.2019, протокол № 6, внесенными приказом НИУ ВШЭ от 23.05.2019 № 6.18.1-01/2305-08;
утвержденными ученым советом НИУ ВШЭ 27.09.2019, протокол № 13, внесенными приказом НИУ ВШЭ от 21.10.2019 № 6.18.1-01/2110-05;
утвержденными ученым советом НИУ ВШЭ 24.01.2020, протокол № 1, внесенными приказом НИУ ВШЭ от 04.02.2020 № 6.18.1-01/0402-08;
утвержденными ученым советом НИУ ВШЭ 19.08.2020, протокол № 12, внесенными приказом НИУ ВШЭ от 26.08.2020 № 6.18.1-01/2608-10;
утвержденными ученым советом НИУ ВШЭ 31.01.2024, протокол № 02, внесенными приказом НИУ ВШЭ от 13.02.2024 № 6.18-01/130224-4
ПРАВИЛА ВНУТРЕННЕГО РАСПОРЯДКА ОБУЧАЮЩИХСЯ
ОБЩИЕ ПОЛОЖЕНИЯ
К обучающимся, на которых распространяются Правила, относятся учащиеся, студенты, аспиранты, слушатели и другие"
3,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,2,"13.02.2024 № 6.18-01/130224-4
ПРАВИЛА ВНУТРЕННЕГО РАСПОРЯДКА ОБУЧАЮЩИХСЯ
ОБЩИЕ ПОЛОЖЕНИЯ
К обучающимся, на которых распространяются Правила, относятся учащиеся, студенты, аспиранты, слушатели и другие категории обучающихся университета, включая его филиалы, независимо от их гражданства. Действие Правил распространяется также на лиц, прикрепленных для прохождения промежуточной аттестации, и лиц, прикрепленных для подготовки диссертации на соискание ученой степени кандидата наук без освоения программ подготовки научно-педагогических кадров в аспирантуре, включая филиалы (в той части, в которой Правила распространяются на аспирантов).
Правила являются локальным нормативным актом университета, регламентирующим права, обязанности и ответственность обучающихся, применяемые к обучающимся меры поощрения и взыскания, а также иные вопросы обеспечения порядка в НИУ ВШЭ.
Правила и изменения к ним утверждаются ученым советом университета с учетом мнения соответственно Студенческого совета университета, Совета учащихся Лицея НИУ ВШЭ, совета родителей (законных представителей) несовершеннолетних обучающихся) университета, в зависимости от того, права какой категории обучающих они затрагивают, и"
4,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,3,"итета, Совета учащихся Лицея НИУ ВШЭ, совета родителей (законных представителей) несовершеннолетних обучающихся) университета, в зависимости от того, права какой категории обучающих они затрагивают, и доводятся до всеобщего сведения путем размещения на корпоративном сайте (портале) университета в сети Интернет.
Дополнительные права и обязанности обучающихся, обусловленные проживанием в студенческом общежитии (арендном доме, гостинице) и (или) пребыванием на его (ее) территории, а также порядок привлечения к дисциплинарной ответственности обучающихся за нарушения, связанные с проживанием в студенческом общежитии (арендном доме, гостинице) и (или) пребыванием на его территории, устанавливаются правилами внутреннего распорядка студенческого общежития или правилами проживания в арендном доме либо гостинице, утверждаемыми в установленном в НИУ ВШЭ порядке.
Правила обязательны для исполнения всеми обучающимися университета в части, соответствующей их правовому положению, согласно законодательству Российской Федерации.
В вопросах, не урегулированных Правилами, университет действует в соответствии с законодательством Российской Федерации и локальными нормативными актами"
5,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,4,"согласно законодательству Российской Федерации.
В вопросах, не урегулированных Правилами, университет действует в соответствии с законодательством Российской Федерации и локальными нормативными актами университета.
1.8. Порядок привлечения обучающихся НИУ ВШЭ к дисциплинарной ответственности (приложение) является неотъемлемой частью Правил.
ОРГАНИЗАЦИЯ ОБРАЗОВАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
(исключен на основании приказа от 13.02.2024 № 6.18-01/130224-4)
3. ПРАВА И ОБЯЗАННОСТИ ОБУЧАЮЩИХСЯ
3.1. Обучающиеся университета имеют право на уважение их человеческого достоинства, защиту от всех форм физического и психического насилия, оскорбления личности, охрану жизни и здоровья, свободу совести, информации, свободное выражение собственного мнения и убеждений.
3.2. Обучающимся университета (в соответствии с категорией обучающихся) предоставляются академические права на:
3.2.1. получение:
высшего образования по выбранной образовательной программе;
основного общего, среднего общего образования в пределах федеральных государственных образовательных стандартов и соответствующими федеральными основными общеобразовательными программами;
дополнительного образования по дополнительным общеобразовательным"
6,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,5,"лах федеральных государственных образовательных стандартов и соответствующими федеральными основными общеобразовательными программами;
дополнительного образования по дополнительным общеобразовательным программам, а также дополнительным профессиональным программам;
иных образовательных услуг, оказываемых университетом в соответствии с его уставом.
3.2.2. обучение по индивидуальному учебному плану, в том числе ускоренное обучение, в пределах осваиваемой образовательной программы в порядке, установленном законодательством Российской Федерации и локальными нормативными актами университета;
3.2.3. участие в формировании содержания своего образования путем выбора из предлагаемых университетом учебных дисциплин и иных элементов реализуемых образовательных программ в соответствии с локальными нормативными актами, участия в студенческой оценке преподавания и предложения изменений в содержание учебных дисциплин в рамках осваиваемых ими образовательных программ через Студенческий совет НИУ ВШЭ (в том числе студенческие советы факультетов НИУ ВШЭ, студенческие советы филиалов НИУ ВШЭ, Совет Объединения иностранных студентов НИУ ВШЭ, Совет аспирантов НИУ ВШЭ), советы учащихся лицеев НИУ"
7,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,6,"У ВШЭ (в том числе студенческие советы факультетов НИУ ВШЭ, студенческие советы филиалов НИУ ВШЭ, Совет Объединения иностранных студентов НИУ ВШЭ, Совет аспирантов НИУ ВШЭ), советы учащихся лицеев НИУ ВШЭ;
3.2.4. выбор факультативных (необязательных для данной образовательной программы) и вариативных (выбор которых обучающиеся должны осуществить) дисциплин, модулей, предметов из перечня, предлагаемого университетом;
3.2.5. освоение наряду с дисциплинами, модулями, предметами по осваиваемой образовательной программе любых других дисциплин, модулей, предметов, преподаваемых в университете, в порядке, установленном университетом, а также преподаваемых в других организациях, осуществляющих образовательную деятельность, учебных предметов, курсов, дисциплин/модулей, одновременное освоение нескольких образовательных программ;
3.2.6. зачет университетом в установленном им порядке результатов освоения обучающимися учебных курсов, дисциплин, модулей, предметов, практики, дополнительных образовательных программ (соответствующего уровня) в других организациях, осуществляющих образовательную деятельность;
3.2.7. перевод в другую образовательную организацию в порядке, установленном"
8,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,7,"ьных образовательных программ (соответствующего уровня) в других организациях, осуществляющих образовательную деятельность;
3.2.7. перевод в другую образовательную организацию в порядке, установленном законодательством Российской Федерации;
3.2.8. ознакомление с лицензией на осуществление образовательной деятельности, свидетельством о государственной аккредитации НИУ ВШЭ, с уставом НИУ ВШЭ, с образовательной программой и иной учебной документацией, другими документами, регламентирующими организацию и осуществление образовательной деятельности в университете;
3.2.10. обжалование приказов и распоряжений университета в порядке, установленном законодательством Российской Федерации;
3.2.11. бесплатное пользование библиотечно-информационными ресурсами, учебной, производственной, научной базой университета;
3.2.12. пользование в порядке, установленном локальными нормативными актами университета, лечебно-оздоровительной инфраструктурой, объектами культуры и объектами спорта университета;
3.2.13. участие в конференциях и симпозиумах, конкурсах научных работ, организуемых университетом, в соответствии с установленным в университете порядком;
3.2.14. опубликование своих работ в изданиях"
9,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,8,"3.2.13. участие в конференциях и симпозиумах, конкурсах научных работ, организуемых университетом, в соответствии с установленным в университете порядком;
3.2.14. опубликование своих работ в изданиях университета, а также на корпоративном сайте (портале) университета на бесплатной основе, в порядке, установленном локальными нормативными актами НИУ ВШЭ;
3.2.15. направление для обучения и проведения научных исследований по избранным темам, прохождения стажировок, в том числе в рамках академического обмена, в другие образовательные организации и научные организации, включая образовательные и научные организации иностранных государств;
3.2.16. поощрение за успехи в учебной, физкультурной, спортивной, общественной, научной, научно-технической, творческой, экспериментальной и инновационной деятельности;
3.2.17. участие в управлении университетом в порядке, установленном уставом НИУ ВШЭ;
3.2.18. участие в обсуждении и решении вопросов, относящихся к деятельности университета, в том числе совместно с органами студенческого (лицейского) самоуправления университета и органами управления университета;
3.2.19. на переход с платного обучения на обучение за счет средств бюджетных ассигнований"
10,2,Правила внутреннего распорядка,education_rules.docx,internal,regulation,education_rules,9,"совместно с органами студенческого (лицейского) самоуправления университета и органами управления университета;
3.2.19. на переход с платного обучения на обучение за счет средств бюджетных ассигнований федерального бюджета либо за счет собственных средств НИУ ВШЭ в случаях и в порядке, установленных законодательством Российской Федерации;
3.2.20. участие в соответствии с законодательством Российской Федерации в научно-исследовательской, научно-технической, экспериментальной и инновационной деятельности, осуществляемой университетом, под руководством педагогических, научных или административных работников университета;
3.2.21. на перевод для получения образования по другой образовательной программе, в порядке, установленном законодательством Российской Федерации и локальными нормативными актами университета;
3.2.22. на восстановление для получения образования в университете в порядке, установленном законодательством Российской Федерации и локальными нормативными актами НИУ ВШЭ;
3.2.23. на отсрочку от призыва на военную службу, предоставляемую в соответствии с Федеральным законом «О воинской обязанности и военной службе»;
3.2.24. на академический отпуск в порядке и по основаниям,"
